Chinese,English,Frequency Count
走进,Go into,2512
進來,Come in,2511
毁灭,destroy,2510
回头,Turn around,2510
五个,Five,2508
工人,Worker,2507
举行,Hold,2507
度过,Over,2506
类似,similar,2505
懂得,know,2503
科学家,the scientist,2502
支付,Pay,2501
牛奶,milk,2500
正要,Take the right,2499
反,opposite,2499
说好,agreed,2498
ら,Bleak,2496
长得,Grow,2494
搭档,partner,2491
露西,Luci,2490
坚强,strong,2489
鞋,shoe,2489
语言,language,2489
感染,Infect,2489
歲,age,2487
规定,Regulation,2487
农场,farm,2486
钻石,diamond,2485
六,six,2485
ﻓ,Bleak,2485
常常,Frequent,2484
蛋,Egg,2482
生日快乐,Happy birthday,2482
直升机,Helicopter,2481
广告,advertise,2480
其實,actually,2479
州,state,2478
表达,Express,2478
砍,cut,2476
那裡,There,2475
镇,town,2472
說過,Say,2471
總,total,2469
沙漠,desert,2467
ﺒ,Bleak,2466
完蛋,Finish,2465
引擎,engine,2465
口袋,pocket,2464
愿望,desire,2464
道路,the way,2464
带我去,take me,2461
海滩,beach,2461
文化,culture,2461
总部,Headquarters,2461
脑子,Brain,2460
城里,In the city,2460
慰,comfort,2459
风,wind,2456
黄金,gold,2455
暗,dark,2454
说法,statement,2454
ﺳ,Bleak,2452
奥,profound,2451
み,Bleak,2450
耐心,patience,2450
去死吧,go to hell,2450
课,class,2449
放过,Let go,2449
解雇,Dismiss,2447
期间,period,2446
ﻛ,Bleak,2446
伤口,Wound,2445
脱,Take off,2442
投资,invest,2440
此事,This matter,2439
树,Tree,2439
描述,describe,2438
ﺬ,Bleak,2436
退休,retire,2436
长时间,For a long time,2435
地下,underground,2433
克斯,Chips,2433
稍,a little,2431
く,Bleak,2430
情況,Condition,2429
代价,cost,2428
欺骗,cheat,2427
队伍,Team,2427
咦,Huh,2425
到时候,By the time,2424
指望,Hope,2424
烂,rotten,2423
视频,video,2423
也許,Maybe,2422
不来,Not coming,2421
踩,Step on,2420
爹,father,2419
一座,One by one,2418
选手,Player,2417
挑,pick,2417
国际,internationality,2416
留给,Leave,2415
希特勒,Hitler,2414
间谍,spy,2414
真想,Really want,2412
程度,degree,2411
用于,For,2411
尊敬,Respect,2409
保重,Take care of yourself,2409
一声,One,2407
革命,revolution,2405
搜索,search,2404
羅,Luo,2404
教训,lesson,2403
支援,support,2403
莫,No,2401
盖,build,2400
珍妮,Jenny,2400
心理,psychology,2399
真不错,really not bad,2397
返回,return,2396
设备,equipment,2395
制服,uniform,2395
同一个,the same one,2394
っ,Bleak,2394
左边,left,2393
西班牙,Spain,2390
拿出,Take out,2390
贱人,Bitter,2388
糖,sugar,2388
承受,bear,2384
少校,Junior college,2383
決定,Decide,2381
擅长,Be good at,2380
復,complex,2380
千万,Tens of millions,2379
裙子,skirt,2376
非洲,Africa,2374
基本,Basic,2373
煮,cook,2372
我來,I come,2372
女友,Girlfriend,2372
见见,See,2369
と,Bleak,2369
说完,Finish,2368
传说,legend,2367
冒,Take up,2366
也就是说,That is,2366
哈哈,Ha ha,2364
斯特,Scrutiny,2364
一路,One way,2361
迷人,charming,2360
很酷,Cool,2359
だ,Bleak,2359
亚,Sub -,2358
非法,illegal,2356
ä,bleak,2355
屋子,room,2354
女兒,daughter,2351
搞错,Make a mistake,2350
作战,Fight,2350
他媽,His mother,2349
情绪,mood,2349
那会,Then,2349
然,But,2348
工具,tool,2347
手臂,arm,2347
結束,Finish,2346
皮肤,skin,2346
真心,sincere,2345
害死,Kill,2345
起诉,Prosecution,2345
做个,Make a,2341
骂,scold,2340
五年,Five years,2340
建筑,architecture,2340
多次,repeatedly,2338
全国,Nationwide,2337
流血,bleed,2336
混,mix,2336
指挥官,commander,2333
合法,legitimate,2333
驾驶,drive,2333
没想,Never think about,2332
史蒂夫,Steve,2332
麦,wheat,2332
接电话,Answer the phone,2330
我见,I see,2330
检察官,Prosecutor,2330
转移,Transfer,2330
不管怎样,one way or another,2330
相处,get along,2330
一切都是,Everything,2328
原本,original,2325
共同,common,2322
ﻚ,Bleak,2319
不要紧,Not tight,2317
威士忌,whisky,2316
烟,cigarette,2315
妈咪,Mum,2315
ﻜ,Bleak,2314
點,point,2309
网络,network,2308
儿童,child,2305
之内,within,2304
修,build,2303
蛇,snake,2303
后期,Later,2303
太晚,Too late,2303
年龄,age,2302
楼下,downstairs,2301
员工,staff,2301
科,division,2301
尼,Nib,2300
避免,avoid,2300
肯,Be willing,2299
吵架,quarrel,2299
效果,Effect,2298
歌手,singer,2297
一刻,A moment,2296
活下去,Survive,2295
砸,Smash,2295
美味,tasty,2294
滚出去,Go out,2294
神圣,sacred,2290
运行,run,2289
双手,Hands,2287
交,pay,2285
有着,have,2280
那邊,there,2280
還好,fine,2280
刚好,just,2277
撤退,retreat,2276
托尼,Tony,2272
赚钱,make money,2270
聽著,listen,2269
地面,ground,2269
男生,Boy,2269
七,seven,2269
處,Place,2267
最佳,optimal,2265
出门,Go out,2264
想来,Want to come,2262
尴尬,Awkward,2262
当成,Treat,2262
手中,In the hands,2260
等一等,Wait,2259
假设,Hypothesis,2258
鲍勃,Bob,2258
莎,Worship,2258
男友,Boyfriend,2256
艰难,difficult,2254
公开,public,2252
我怕,I'm afraid,2252
布朗,Brown,2252
大事,event,2251
全球,worldwide,2251
这么久,so long,2250
蔚,Unrestrained,2247
那次,That time,2245
装置,Device,2241
签名,sign,2241
外星人,alien,2241
商店,shop,2239
沒什麼,nothing,2237
部落,tribe,2237
反抗,Resist,2235
第二次,the second time,2233
克莱尔,Claire,2232
琵,lute,2231
联盟,alliance,2230
р,bleak,2230
硬,hard,2230
蠢,stupid,2229
乐趣,pleasure,2229
稳定,Stablize,2228
姐妹,sisters,2227
恋爱,in love,2226
屎,shit,2225
经理,manager,2222
掩护,cover,2221
取得,Obtain,2221
女子,woman,2220
玻璃,Glass,2219
眼前,In front of,2219
身,body,2219
惊人,amazing,2218
师傅,master,2216
ﺴ,Bleak,2216
機會,Chance,2216
猴子,monkey,2216
害,Harmful,2216
陷入,Fall into,2214
高興,Happy,2213
良好,good,2211
打击,Strike,2209
药物,drug,2209
内部,internal,2209
指示,instruct,2208
亚当,Adequid,2208
打扮,dress up,2208
大街,Street,2206
過去,past,2206
よ,Bleak,2205
杯,cup,2204
尔,you,2202
礼貌,polite,2201
第三,third,2200
德国人,German,2197
は,Bleak,2197
诶,Eh,2196
保险,Insurance,2192
走出,Go out,2192
地下室,basement,2190
各,each,2190
小镇,Town,2189
佬,guy,2186
最新,up to date,2186
伊,Irald,2185
加州,California,2185
大麻,marijuana,2185
手段,means,2182
更糟,Worse,2182
泰勒,Taylor,2182
苏联,Soviet Union,2180
你们好,Hello,2178
警察局,Police station,2176
偷走,Steal,2176
风险,risk,2172
取,Pick,2171
星星,Star,2170
主席,Chairman,2169
酷,cool,2168
一趟,One trip,2168
趁,take advantage of,2166
妮,Niger,2164
没人会,No one will,2164
关门,close the door,2159
话题,topic,2159
改,change,2159
片名,Title,2156
型,type,2156
下班,get off work,2155
区别,the difference,2155
议员,Parliament,2154
丢下,Leave,2154
整理,tidy,2153
时期,period,2152
老人,elder,2150
楼,building,2150
眼神,Eyes,2150
电梯,elevator,2149
小说,novel,2149
签,sign,2147
新娘,bride,2147
仪式,ceremony,2147
魅力,charm,2147
领导,lead,2145
处于,Be in,2145
公里,kilometer,2144
大楼,Building,2144
爱人,spouse,2143
形成,form,2143
右边,right,2143
称为,Called,2142
礼拜,worship,2142
为止,until,2141
圣,Holy,2141
称,say,2141
发明,invention,2140
辦法,Method,2140
老妈,Mother,2139
ﺣ,Bleak,2139
儿,Son,2139
几分钟,Several minutes,2138
小家伙,brat,2137
独立,independent,2134
確定,Sure,2134
确信,Be confident,2132
指纹,fingerprint,2131
坐牢,Go to jail,2130
打来,Fight,2129
兔子,rabbit,2129
至于,To,2128
地板,floor,2128
额,Forehead,2128
卡特,Carter,2127
期望,expect,2127
好孩子,Good boy,2127
海军,navy,2126
对象,Object,2126
凯文,Kaiwen,2125
追求,Pursue,2124
东京,Tokyo,2123
镜头,Lens,2123
平常,usually,2121
交换,exchange,2115
一整天,A whole day,2113
肮脏,dirty,2112
监控,monitor,2111
で,Bleak,2111
这辈子,this life,2110
甩,Shake,2109
救护车,ambulance,2108
一口,Take a bite,2107
采访,Interview,2106
角度,angle,2106
部长,minister,2106
做梦,dream,2106
咱,we,2105
商量,discuss,2104
快速,fast,2102
回家吧,go home,2101
财产,property,2099
很长,very long,2099
森,Forest,2098
只好,Had to,2097
饼干,biscuit,2096
無法,Unable to,2095
舞台,stage,2095
名叫,Name,2092
几点,What time is it?,2092
房,house,2089
舞,dance,2089
有罪,guilty,2087
浪费时间,waste time,2085
丹,Pour,2085
灯,lamp,2084
瑞克,Rick,2084
同一,same,2083
保佑,bless,2083
对抗,confrontation,2082
性命,life,2081
强奸,rape,2080
试试看,Try,2078
饮料,drinks,2078
癬,Ringworm,2078
成熟,Mature,2076
人质,hostage,2076
浴室,bathroom,2076
陷阱,trap,2071
荣誉,honor,2070
当中,among,2070
一本,One,2069
敬,Respectfully,2069
笨,fool,2069
具有,have,2068
射,shoot,2068
类型,type,2067
顿,pause,2066
在于,In,2066
本人,Myself,2066
空中,Air,2064
咋,Exactly,2064
小偷,Thief,2064
牌,Card,2063
隻,Only,2062
归,Return,2062
白天,daytime,2062
下雨,rain,2061
姓,surname,2060
正义,justice,2060
可笑,ridiculous,2059
式,Mode,2058
還,return,2058
当地,local,2056
今日,today,2056
艺术家,artist,2052
情,Affection,2051
托,Entrust,2051
货,goods,2047
中央,central,2047
观点,View,2045
贾,Shot,2045
ま,Bleak,2045
侦探,detective,2044
卧室,bedroom,2044
袋子,bag,2043
风格,style,2043
修好,Repair,2043
资格,qualifications,2042
宗教,religion,2041
今早,This morning,2041
老朋友,Old friend,2041
某,certain,2041
之下,under,2040
起飞,take off,2039
判断,judge,2039
荒谬,absurd,2038
尼斯,Nice,2038
俄国,Russia,2038
圣经,Bible,2038
保留,reserve,2038
汤米,Tidal,2037
е,bleak,2036
祝福,bless,2033
毛病,Fault,2031
知,Know,2029
受够了,fed up,2029
就行,Be,2028
大不了,Big deal,2026
绳子,rope,2026
借口,Excuse,2025
维持,maintain,2025
寂寞,lonely,2024
女巫,Witch,2024
泡,Bubble,2023
超人,Superman,2022
后果,as a result of,2020
我试,I try,2020
总会,Always,2020
绑,tie,2019
饭,meal,2018
罗杰,Roger,2018
槍,gun,2017
开口,Open,2016
慢点,Slower,2015
说些,A little,2015
軍,military,2014
帝国,empire,2014
竞选,Campaign,2014
表明,show,2014
市长,mayor,2013
提起,Lift,2013
门口,Entrance,2013
屋里,House,2012
将要,will,2012
美國,U.S.,2011
一项,One item,2011
古老,ancient,2011
ﾇ,Bleak,2010
功夫,effort,2009
温柔,gentle,2009
想不到,Unexpectedly,2007
战场,battlefield,2007
回报,Return,2006
结局,ending,2006
抓到,Catch,2004
支票,Cheque,2003
座位,seat,2003
不仅仅,Not only,2002
投,cast,2002
情感,emotion,2000
有种,Have a species,1999
雖然,Although,1997
卫星,satellite,1996
提前,in advance,1995
下降,decline,1995
建造,put up,1994
大海,Sea,1992
柏林,Berlin,1990
搞笑,funny,1988
协助,assist,1987
吃掉,Eat,1986
中士,Chinese scholar,1985
れ,Bleak,1985
短,short,1985
下周,next week,1983
我本,My own,1983
一架,One by one,1983
哪来,Where to,1981
修女,nun,1980
这部,This,1980
夫妇,Couple,1980
吸,suck,1978
证实,Confirm,1977
致命,fatal,1977
新鲜,Fresh,1977
疾病,disease,1976
温暖,warmth,1975
苹果,apple,1974
连接,connect,1974
当初,At first,1974
月亮,moon,1973
保密,Secret,1973
平静,calm,1970
可能性,possibility,1970
骑士,knight,1970
基本上,basically,1969
整晚,All night,1968
演奏,Play,1968
四处,around,1966
歡迎,welcome,1963
一瓶,One bottle,1962
玩意儿,thing,1962
出卖,sell,1962
针对,against,1962
成长,growing up,1961
蠢货,idiot,1960
老头,Old man,1960
本身,itself,1959
每個,Each,1957
不愿,Unwilling,1955
就是说,that is,1954
理想,ideal,1953
适应,adapt,1952
噩梦,Nightmare,1951
棒极了,Excellent,1950
瞎,blind,1949
牙齿,teeth,1949
宋体,Song style,1948
烤,bake,1948
自豪,pride,1948
天天,day by day,1947
繫,Tie,1947
第二天,the next day,1946
提议,proposal,1945
念,read,1945
重大,major,1945
托马斯,Thomas,1944
走运,Luck,1944
三明治,sandwich,1944
進去,Go in,1944
消灭,wipe out,1944
卡拉,Kara,1944
忠诚,loyalty,1943
应付,Handle,1943
屋顶,roof,1942
试,try,1942
當時,then,1941
基,base,1941
敲,knock,1940
第二个,the second,1939
钱包,wallet,1939
这样的话,In this case,1939
查尔斯,Charles,1938
文章,article,1934
理查德,Richard,1933
养,keep,1933
飞船,spaceship,1932
尼尔,Niel,1931
迷路,get lost,1930
这片,this piece,1930
注意力,attention,1928
那種,That kind,1926
上课,Attend class,1925
有什麼,have what,1925
圣诞,Christmas,1925
不安,disturbed,1924
偶尔,Occasionally,1924
关上,close,1924
相反,on the contrary,1924
塞,Plug,1923
自信,confidence,1923
臭小子,Stinky boy,1922
丁,Man,1921
这下,Now,1920
挡,block,1920
乘客,passenger,1919
请原谅,please forgive,1918
费,fee,1918
炒,saute,1918
大臣,Minister,1916
植物,plant,1916
這次,this time,1916
飞行员,pilot,1915
我敢,I dare,1915
皇后,Queen,1914
春天,spring,1914
香槟,Champagne,1913
撒,spread,1913
录像,Videos,1912
智慧,wisdom,1911
克拉克,Clark,1911
祝贺,congratulate,1910
夢,Dream,1910
诚实,honest,1910
强烈,strong,1909
皮,Skin,1909
坦白,frank,1909
杰西,Jiexi,1909
歌曲,song,1909
深,deep,1907
小鬼,Ghost,1907
看好,Be optimistic,1907
成為,become,1906
ㄛ,Bleak,1906
我俩,Ours,1904
全身,whole body,1903
解开,Unlock,1902
崩溃,collapse,1902
爱丽丝,Alice,1902
向前,forward,1899
有权,Have power,1899
午饭,lunch,1899
毁掉,Destroy,1897
出租车,taxi,1894
丹尼尔,Daniel,1894
善良,Kind,1893
莉,Wicked,1893
冬天,winter,1893
散步,walk,1892
欧,Europe,1892
屁,fart,1892
网站,website,1891
う,Bleak,1891
标准,standard,1891
报,Report,1890
这句,This sentence,1890
闻到,smell,1889
别闹,Don't make trouble,1889
敏感,sensitive,1888
脱掉,Take off,1888
ㄇ,Bleak,1887
辞职,Resign,1887
投入,Invest,1886
交谈,chat,1885
安慰,comfort,1883
欺负,Bully,1882
绿色,green,1882
坏事,bad thing,1881
還在,Still,1881
そ,Bleak,1880
還要,Still,1880
飯,meal,1880
走走,Walk around,1879
走廊,corridor,1879
小小的,Small,1879
沙发,sofa,1879
龙,dragon,1878
拥抱,Embrace,1877
慢,slow,1877
結婚,marry,1877
同情,pity,1877
楼梯,stairs,1876
争取,Strive for,1875
机构,mechanism,1874
提高,improve,1874
奇,strange,1874
中情局,Central Love Bureau,1874
产品,product,1873
完整,whole,1873
周,week,1872
当作,As,1872
男性,male,1872
杂种,Hybrid,1871
淘汰,disuse,1870
拍照,Photograph,1870
花园,garden,1870
热情,enthusiasm,1870
雇,hire,1869
ﻢ,Bleak,1868
企业,enterprise,1867
ǐ,pilot,1866
斕,Fascinating,1865
壞,bad,1864
打断,interrupt,1861
谢谢你们,thank you all,1861
跟上,Follow up,1860
事要,Matter,1860
菲尔,Phil,1859
玫瑰,Rose,1858
寄,send,1857
从前,Formerly,1857
叛徒,traitor,1857
ノ,Bleak,1857
隐瞒,hide,1856
舞蹈,dance,1856
段,part,1855
磅,pound,1854
明早,Tomorrow morning,1854
皮特,Pitter,1853
布莱恩,Brian,1852
雪,Snow,1852
一顿,One,1850
很久以前,"long, long ago",1850
晓得,know,1850
烦,bother,1849
倆,both,1849
以上,above,1848
杰瑞,Jerry,1848
が,Bleak,1847
尝尝,Try,1844
自私,Selfish,1844
天赋,talent,1843
批准,approve,1843
炸,fry,1843
局长,Director,1843
八,eight,1842
校长,headmaster,1842
莫斯科,Moscow,1841
姆,Murderous,1840
感謝,grateful,1840
嘲笑,laugh at,1838
波,Wave,1837
囚犯,prisoner,1837
被告,defendant,1836
配合,Cooperate,1836
认得,Recognize,1836
开除,Dismiss,1834
打仗,fight,1830
少女,Girl,1830
翻,turn,1829
三次,three times,1829
阿门,Amen,1827
ﻬ,Bleak,1827
岛上,Island,1826
仅,only,1826
倒霉,Unlucky,1825
发表,Publish,1824
眼镜,Glasses,1824
き,Bleak,1822
甚么,What,1822
封信,Letter,1822
ﺤ,Bleak,1821
坦克,tank,1821
激情,Passion,1819
餐馆,Restaurant,1818
骗人,Deceptive,1816
复仇,revenge,1815
洗手间,Toilet,1815
海伦,Helen,1814
神经,nerve,1812
如同,as,1811
统治,rule,1811
第一天,first day,1811
影片,Film,1810
职责,Duty,1810
商业,Business,1809
何不,Not,1808
衬衫,shirt,1808
午夜,midnight,1808
一眼,At a glance,1808
迪,Daisy,1807
胳膊,arm,1807
癌症,cancer,1806
学到,Learn,1806
考试,take an exam,1804
保存,save,1803
邮件,mail,1801
它們,they,1801
老子,Lao Tzu,1800
遵守,obey,1799
ó,ó,1798
切,cut,1798
文明,civilization,1797
那兒,there,1796
军人,soldier,1796
同伴,companion,1796
带给,Give,1795
要不然,otherwise,1794
打倒,Defeat,1794
集团,group,1794
舰长,captain,1793
合同,contract,1793
片,piece,1793
玛,Macaron,1792
绝望,despair,1791
墙,wall,1791
鸡蛋,egg,1791
法语,French,1791
礛,Bleak,1791
遭到,Suffer,1790
改變,Change,1789
艾米,Amy,1788
孤单,alone,1788
很久,long time,1787
护照,passport,1787
隔壁,next door,1786
逃避,escape,1785
安迪,Andy,1785
十分钟,ten minutes,1785
镇上,Town,1785
树林,forest,1785
相关,Related,1784
发动,launch,1783
迪克,Dick,1783
入侵,Invade,1783
记,remember,1783
极了,Extremely,1781
暴露,Expose,1780
び,Bleak,1779
内裤,Underwear,1778
纳粹,Nazi,1776
利益,Benefit,1776
单身,single,1775
自动,automatic,1775
人能,Be able to,1775
甜蜜,sweet,1773
报复,revenge,1772
成就,Achievement,1771
猜猜,Guess,1770
画面,Picture,1770
不得,Be unable to,1769
卷,roll,1769
巨人,giant,1768
扮演,Play,1767
断,Break,1767
麻煩,trouble,1767
头脑,mind,1766
麼,What's wrong?,1766
报仇,revenge,1766
保姆,nanny,1766
吓坏,Scare,1765
人才,Talent,1765
大门,door,1764
巴,-bar,1763
拜访,visit,1762
好点,Better,1762
分子,molecular,1761
冒犯,offend,1761
遭遇,encounter,1758
有过,Had,1758
幫助,help,1758
一向,Always,1758
瘋,Crazy,1757
时机,opportunity,1757
陪审团,jury,1756
会长,President,1756
注射,injection,1755
啰,Cricket,1755
利,profit,1754
母親,Mother,1753
汤,Soup,1752
作出,Make,1752
這邊,Here,1751
喝杯,Drink a cup,1751
危机,crisis,1750
心灵,soul,1750
下手,Start,1749
腔,Cavity,1749
給,Give,1748
段时间,period of time,1747
总有一天,One day,1747
市,city,1746
洛克,Locke,1745
迅速,fast,1745
史密斯,Smith,1743
雨,rain,1743
两周,Two weeks,1741
古怪,eccentric,1740
老是,always,1739
一头,One,1739
退,retreat,1739
戏,play,1737
系,Tie,1737
营地,Camp,1737
冰,ice,1737
否认,deny,1737
诗,poetry,1736
有件事,Something,1735
哪怕,Even,1735
冷静下来,clam down,1733
联合,joint,1733
这家,this home,1733
扯,pull,1733
玩得,Play,1732
唱片,record,1731
再来,Come again,1731
遵命,Obey,1730
材料,Material,1729
旅程,journey,1729
千万别,Not to,1729
安东尼,Anthony,1728
平时,usually,1728
瞒,conceal,1726
出于,Out,1725
捉,catch,1725
六个,Six,1725
代替,replace,1724
ﺟ,Bleak,1723
蟽,Bleak,1723
占,occupy,1723
薇,Wicked,1722
助理,assistant,1721
開心,happy,1721
度假,Vacation,1721
小狗,puppy,1720
店里,Store,1720
手枪,pistol,1720
满,Full,1719
对话,dialogue,1718
那件事,that matter,1718
曼,Man,1718
米奇,Mickey,1718
ﻗ,Bleak,1717
电话号码,telephone number,1717
無,none,1715
別人,other people,1715
无线电,radio,1712
一号,Number one,1712
会见,meet,1711
镜子,Mirror,1711
那就好,That's good,1710
跟我走,Come with me,1710
拉斯,Las,1710
罪行,offense,1709
报导,Report,1709
高度,high,1708
街道,street,1708
公民,citizen,1708
妇女,Woman,1708
汉堡,Hamburger,1707
抵达,arrival,1707
ا,Bleak,1704
应,answer,1704
蛤,Clam,1703
日期,date,1701
队员,Player,1701
冰箱,refrigerator,1701
回应,Respond,1701
狗屁,Shit,1701
顾客,customer,1700
要不是,If not,1700
丹尼斯,Dennis,1699
侮辱,insult,1699
約,about,1699
演讲,speech,1699
圈,lock up,1698
野兽,Beast,1698
很小,Very small,1698
这一,This,1698
恐怖分子,terrorist,1697
航班,flight,1696
上周,Last week,1695
結果,result,1695
生产,Production,1694
凌晨,Early morning,1694
装备,equipment,1694
人們,people,1694
難道,Be,1692
弗,Ecstasy,1691
底下,under,1690
翅膀,wing,1690
痕迹,trace,1690
灾难,disaster,1689
一首,a,1689
参议员,senator,1689
发疯,go Ape,1689
剧本,script,1689
市民,Citizen,1689
具体,specific,1688
地盘,Site,1688
天生,Natural,1688
道德,Morality,1687
僵尸,Zombie,1687
好久,For a long time,1686
钩,hook,1686
棒球,baseball,1686
上帝保佑,God bless,1685
远点,Further,1685
一家人,family,1685
海盗,pirate,1684
实话,truth,1683
有何,What,1683
快到,Reach,1683
さ,Bleak,1683
那有,there is,1683
符合,conform to,1682
开会,Meet,1682
稍后,Later,1682
爸妈,Parents,1681
丝,Silk,1680
体内,in vivo,1680
违反,violation,1680
网上,Online,1679
骨头,bone,1679
合理,Reasonable,1678
饭店,Restaurant,1678
不是故意,Not on purpose,1678
菲利普,Phillip,1677
幸会,Fortunately,1676
烦恼,trouble,1676
当年,then,1676
广场,square,1676
害羞,shy,1675
但愿,Hope,1674
伯爵,count,1673
醉,drunk,1672
据说,It is said,1672
墙上,Wall,1671
他杀,He killed,1670
前辈,senior,1670
以外,outside,1670
有個,is having a,1670
铁路,railway,1669
種,kind,1669
地位,status,1669
求婚,Proposal,1668
般的,ish,1668
对面,opposite,1668
路易斯,Louis,1668
高级,advanced,1667
牛仔,cowboy,1666
才行,Talent,1666
瞭解,learn,1665
用不着,Not use,1664
比如说,For example,1664
不住,Unbearable,1662
谢天谢地,Grateful,1662
不怎么,not very,1660
法院,Court,1660
六个月,Six months,1660
肌肉,muscle,1659
惨,awful,1658
却是,but it is,1658
哈罗,Haro,1658
台,tower,1658
公众,public,1656
敢肯定,Be sure,1656
轮到,Turn,1656
插,Insert,1656
刺,prick,1656
洛,Macaron,1656
看來,Seem,1656
舌头,Tongue,1656
村子,Village,1655
背景,background,1654
警卫,Guardian,1654
秘书,secretary,1654
送来,Send,1653
车站,station,1653
唐,Tang Dynasty,1653
不对劲,Wrong,1653
为啥,Why,1651
夫,husband,1650
林,Forest,1647
别想,Don't think about,1647
呦,Scoop,1647
闻,smell,1645
鬼魂,ghost,1645
本事,ability,1645
知识,Knowledge,1645
奶酪,cheese,1644
员,member,1644
模特,model,1643
肖恩,Sharne,1643
形式,form,1643
公路,highway,1643
后退,Retreat,1642
心跳,Heartbeat,1642
水平,level,1641
包围,Surround,1641
瞄准,aim,1640
流行,Popularity,1640
零,zero,1639
夺走,Take away,1639
修理,repair,1639
韩国,South Korea,1638
肩膀,Shoulder,1638
强壮,strong,1637
半个,Half,1637
全新,brand new,1636
ゴ,Bleak,1636
表面,surface,1634
一致,Consistent,1634
新来,New coming,1634
居民,resident,1634
联邦调查局,FBI,1633
主任,director,1633
布鲁斯,Bruce,1633
中午,noon,1633
皇帝,emperor,1631
得了吧,Come on,1631
選擇,choose,1630
谓,Say,1629
残忍,cruel,1628
厌倦,Boring,1628
可不可以,Can,1628
爆,burst,1627
哭泣,cry,1627
传,pass,1626
九,Nine,1624
屋,Room,1623
难以,difficult,1622
賣,Sell,1622
相机,camera,1622
剛才,Just now,1621
来源,source,1620
我給,I give,1620
波特,Potter,1619
熟,Cooked,1619
沒關,Not closed,1619
机,machine,1619
卖掉,Sell,1619
特別,special,1618
不论,whether,1618
手套,Gloves,1618
操作,operate,1618
蒂,Heaven,1618
幾個,several,1618
神经病,Neuropathy,1617
通话,call,1617
悲剧,tragedy,1616
嫌犯,Suspect,1616
超越,Surpass,1616
忘掉,forget,1615
达成,Reach,1615
傻子,Fool,1615
胖子,Fat man,1615
艾迪,Eddie,1615
隧道,tunnel,1615
绅士,gentleman,1612
强迫,force,1612
祇,Only,1611
访问,access,1610
房間,Room,1610
只想,Just want,1610
面具,mask,1610
口,mouth,1609
西蒙,Simon,1609
斯科特,Scott,1608
医疗,Medical care,1607
困扰,Disturb,1607
角落,corner,1606
蛮,quite,1605
做生意,Do business,1604
胸部,Chest,1604
单位,unit,1604
人群,crowd,1604
注定,Be destined,1603
学院,College,1603
莉莉,Lily,1603
形象,Image,1601
最棒,The best,1601
南方,south,1600
ﺖ,Bleak,1600
這件,this,1598
金钱,money,1598
法兰克,Frank,1597
专门,specialized,1597
好莱坞,Hollywood,1596
失控,out of control,1594
艘,Ship,1593
變成,become,1593
所知,Know,1593
技巧,Skill,1592
性交,sexual intercourse,1592
深刻,profound,1592
把门,Door,1591
转身,Turn around,1590
集合,gather,1590
小丑,clown,1589
上升,rise,1589
寻求,seek,1589
解除,Dismiss,1589
一道,One by one,1588
称呼,call,1588
加拿大,Canada,1587
爱上,Fall in love,1587
爆发,break out,1587
丽莎,Lisa,1586
没人能,No one can,1584
晚饭,dinner,1584
成立,Establish,1584
中圆简,Middle Yuanjian,1584
准确,precise,1583
逃脱,Escape,1583
掌控,Control,1582
四年,Four years,1582
落,fall,1581
被困,Be trapped,1580
比起,Compare,1579
风暴,storm,1579
燃烧,combustion,1579
卑鄙,mean,1579
太大,Too big,1579
一员,One member,1579
参观,visit,1578
一副,One,1578
限制,limit,1577
り,Cord,1576
穿越,Pass through,1576
闭上,Close,1575
主管,director,1574
认出,make out,1574
內,Inside,1573
萬,Ten thousand,1573
梅,plum,1573
製,system,1572
短信,Short message,1572
难受,Uncomfortable,1571
星,star,1571
模式,model,1571
击中,hit,1570
永不,Never,1569
欲望,desire,1568
给予,give,1566
紧,tight,1566
实际,actual,1565
喽,Cricket,1565
髮,hair,1565
胖,fat,1564
老爷,master,1564
问过,Asked,1561
没来,not coming,1560
出現,Appear,1560
桥,bridge,1559
抵抗,resistance,1559
一笔,One stroke,1558
且,and,1556
面临,Face,1556
放进,Put in,1555
码头,pier,1555
ﻪ,Bleak,1555
舰队,fleet,1554
夫妻,couple,1554
阶段,stage,1553
明确,clear,1553
太快,Too fast,1552
价格,price,1551
信用卡,credit card,1551
理智,reason,1551
犹太,Jewish,1550
一種,A sort of,1550
杰夫,Jeff,1550
别无选择,No choice,1549
导弹,missile,1548
球员,Player,1548
维尔,Ver,1548
保護,Protect,1547
干脆,simply,1546
喉咙,Throat,1546
赶到,Rush,1546
小朋友,kid,1545
维,dimension,1545
有意,Intentionally,1544
凯蒂,Kitty,1544
臉,Face,1544
英文,English,1543
军官,officer,1543
幸好,fortunately,1543
资金,funds,1543
你現,You,1542
我操,Fuck,1542
谈判,negotiation,1542
舔,lick,1542
上午,morning,1541
捡,Pick up,1541
反而,instead,1541
塔克,Tucker,1541
这辆,This,1540
哈里,Harry,1540
火箭,Rocket,1540
海岸,coastal,1540
可靠,reliable,1539
英国人,British,1539
即便,even if,1538
帅哥,handsome guy,1537
一台,One,1537
好样,Well done,1537
谋杀案,Murder,1536
討厭,Hate,1536
碎片,Fragmentation,1536
至今,to date,1536
打中,Hit,1534
ㄠ,Bleak,1534
黑鬼,nigger,1534
赛,Race,1534
打電話,Call up,1534
经营,Operate,1532
使命,mission,1532
架,shelf,1532
